0,0,0.74000001,0,0,0,1,0.00982977264,0.000156133072,0.00415318366,-0.0169182234,0.00765822176,-5.03088995e-05,0.00982977264,-0.000156133072,-0.00415318366,-0.0169182234,0.00765822176,5.03088995e-05,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.73949039,0,0,0,1,-0.028091982,-0.000452582957,-0.0118628331,0.0487618484,-0.0241471566,0.000160127733,-0.028091982,0.000452582957,0.0118628331,0.0487618484,-0.0241471585,-0.000160127733,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.738056302,0,0,0,1,-0.0791587979,-0.00219617179,-0.0333455019,0.137300745,-0.066203624,0.000529701705,-0.0791587979,0.00219617179,0.0333455019,0.137300745,-0.066203624,-0.000529701705,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.735840023,0,0,0,1,-0.135217085,-0.00479932828,-0.0568402335,0.234653562,-0.112161189,0.00100350182,-0.135217085,0.00479932828,0.0568402335,0.234653562,-0.112161189,-0.00100350182,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.732983708,0,0,0,1,-0.188234836,-0.00798637327,-0.078939788,0.326990038,-0.155773014,0.00152716669,-0.188234836,0.00798637327,0.078939788,0.326990038,-0.155773014,-0.00152716669,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.729629636,0,0,0,1,-0.221268505,-0.0113458531,-0.0924799442,0.385130495,-0.183827624,0.00200101011,-0.221268505,0.0113458531,0.0924799442,0.385130495,-0.183827624,-0.00200101011,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.725920022,0,0,0,1,-0.25666973,-0.0150908008,-0.106904015,0.447521329,-0.213727936,0.00252629141,-0.25666973,0.0150908008,0.106904015,0.447521329,-0.213727936,-0.00252629141,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.721997023,0,0,0,1,-0.289259672,-0.0190075003,-0.120040864,0.505202353,-0.241390049,0.00306362309,-0.289259672,0.0190075003,0.120040864,0.505202353,-0.241390049,-0.00306362309,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.718002975,0,0,0,1,-0.31889981,-0.0229602065,-0.131855726,0.557882071,-0.26666835,0.00359871401,-0.31889981,0.0229602065,0.131855726,0.557882071,-0.26666835,-0.00359871401,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.714079976,0,0,0,1,-0.345441043,-0.0268149506,-0.142316923,0.605242789,-0.28940469,0.00411670841,-0.345441043,0.0268149506,0.142316923,0.605242789,-0.28940469,-0.00411670841,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.710370362,0,0,0,1,-0.368708581,-0.0304388627,-0.151388064,0.646916151,-0.309417695,0.00460204855,-0.368708581,0.0304388627,0.151388064,0.646916151,-0.309417695,-0.00460204855,0,0,0,0,0,0,0,0,0,0,0,0
